,tweet_id
0,1.2980437694139884e+18
1,1.2980354374334996e+18
2,1.298026556745556e+18
3,1.298026430903677e+18
4,1.29802566669747e+18
5,1.2980248250138952e+18
6,1.2980232292321608e+18
7,1.2980229030999163e+18
8,1.298021300699566e+18
9,1.2980180624327066e+18
10,1.298014194562982e+18
11,1.298013676465787e+18
12,1.2980075021775667e+18
13,1.2980034316893512e+18
14,1.297994613538644e+18
15,1.2979921861311693e+18
16,1.2979913973547377e+18
17,1.2979853192504074e+18
18,1.297980668169859e+18
19,1.2979801776627835e+18
20,1.297978592647737e+18
21,1.2979708027767808e+18
22,1.2979652102470615e+18
23,1.2979604374730506e+18
24,1.2979546179727196e+18
25,1.2979442697774408e+18
26,1.2979281411055862e+18
27,1.2979273928334828e+18
28,1.297922084559917e+18
29,1.2979219347478692e+18
30,1.29792161655552e+18
31,1.297918898315174e+18
32,1.297904569578553e+18
33,1.2978903184031089e+18
34,1.2978835037831127e+18
35,1.2978786252623012e+18
36,1.2978726547544064e+18
37,1.2978645760092283e+18
38,1.2978629547681137e+18
39,1.2978424671785247e+18
40,1.2978416118423224e+18
41,1.297827812112339e+18
42,1.2978185793840538e+18
43,1.2978153040730276e+18
44,1.2978130899167724e+18
45,1.2978091777340785e+18
46,1.297802576143016e+18
47,1.2977853530680975e+18
48,1.297773917042434e+18
49,1.2977664975535432e+18
50,1.2977660530034442e+18
51,1.2977660195328778e+18
52,1.29776555939695e+18
53,1.297762802354946e+18
54,1.297755585157501e+18
55,1.297747942976168e+18
56,1.2977398174641152e+18
57,1.297738169777963e+18
58,1.297733085535109e+18
59,1.2977317302839788e+18
60,1.2977295026891612e+18
61,1.2977272996185088e+18
62,1.2977268128778117e+18
63,1.2977249739859313e+18
64,1.297718727836758e+18
65,1.2977127595185152e+18
66,1.297709551140176e+18
67,1.2977085544349573e+18
68,1.2977059141836186e+18
69,1.2977007156542546e+18
70,1.2977004243765617e+18
71,1.2976962626328207e+18
72,1.2976955708329042e+18
73,1.2976913049193144e+18
74,1.2976906278328689e+18
75,1.2976906271283855e+18
76,1.2976902229610783e+18
77,1.2893475699491062e+18
78,1.2893399961268265e+18
79,1.2893385482738565e+18
80,1.2893377675335066e+18
81,1.2893242542160486e+18
82,1.2893197162934477e+18
83,1.2893172062877778e+18
84,1.2893139674462126e+18
85,1.2893127078380175e+18
86,1.289311421298221e+18
87,1.2893109824523346e+18
88,1.2893015585349714e+18
89,1.2893012276800143e+18
90,1.289297102372102e+18
91,1.2892926936384922e+18
92,1.2892918882608742e+18
93,1.2892843858756936e+18
94,1.2892841085358326e+18
95,1.2892798288692756e+18
96,1.2892759467056046e+18
97,1.2892744543132836e+18
98,1.2892723128277074e+18
99,1.2892675719848018e+18
100,1.2892630917718753e+18
101,1.2892628351684485e+18
102,1.289257937794302e+18
103,1.2892553598953103e+18
104,1.289254728698749e+18
105,1.289250547573244e+18
106,1.2892496274647818e+18
107,1.2892491629204316e+18
108,1.2892477029878374e+18
109,1.2892468957437256e+18
110,1.2892466520211374e+18
111,1.2892462452575068e+18
112,1.289243167531782e+18
113,1.2892403691509268e+18
114,1.2892390883236823e+18
115,1.2892379218457682e+18
116,1.289237521642041e+18
117,1.289237432794153e+18
118,1.289236295462527e+18
119,1.289236236108886e+18
120,1.2892356590816748e+18
121,1.2892348216091648e+18
122,1.289234683864195e+18
123,1.2892344035335823e+18
124,1.2892340318888305e+18
125,1.289233148098646e+18
126,1.289232925574087e+18
127,1.2892310160961823e+18
128,1.289229934641025e+18
129,1.289228202632573e+18
130,1.2892270627633275e+18
131,1.2892269786549985e+18
132,1.2892267082733937e+18
133,1.2892262292922286e+18
134,1.2892260132940431e+18
135,1.2892245356658156e+18
136,1.2892241895015342e+18
137,1.2892239580598764e+18
138,1.289223272479957e+18
139,1.2892229770247004e+18
140,1.2892228899845489e+18
141,1.289221980772655e+18
142,1.2892211978051912e+18
143,1.2892210796180767e+18
144,1.2892201765509284e+18
145,1.2892200873883566e+18
146,1.2892197313296955e+18
147,1.2892167231328993e+18
148,1.289215837526585e+18
149,1.2892154814175764e+18
150,1.2892153042208276e+18
151,1.2892137785260073e+18
152,1.289213515551527e+18
153,1.2892130721338737e+18
154,1.289212671665963e+18
155,1.2892124435838648e+18
156,1.289212358976344e+18
157,1.289211993899975e+18
158,1.289210697075708e+18
159,1.2892103745127342e+18
160,1.2892090669971784e+18
161,1.2892089941756764e+18
162,1.289208683876905e+18
163,1.289208606617817e+18
164,1.2892083603534602e+18
165,1.2892076023462216e+18
166,1.289207104826311e+18
167,1.2892069552742072e+18
168,1.2892064451210076e+18
169,1.2892062561131315e+18
170,1.2892056116121272e+18
171,1.2892053042073682e+18
172,1.2892044484771185e+18
173,1.289203870434906e+18
174,1.289203678633554e+18
175,1.2892029030186598e+18
176,1.2892025351949804e+18
177,1.251780591508353e+18
178,1.2517767223930552e+18
179,1.2517737379442483e+18
180,1.2517723795436216e+18
181,1.2517690701537608e+18
182,1.2517625900422636e+18
183,1.251756524629717e+18
184,1.25175621951923e+18
185,1.2517561831881974e+18
186,1.2517558908955443e+18
187,1.251755568852861e+18
188,1.2517554381793198e+18
189,1.2517548887841587e+18
190,1.251754859331834e+18
191,1.2517544723483484e+18
192,1.251750922184618e+18
193,1.2517505518109696e+18
194,1.2517498323955753e+18
195,1.2517486637952983e+18
196,1.2517476741073183e+18
197,1.251744293435269e+18
198,1.2517431905513677e+18
199,1.2517427449485107e+18
200,1.251742203669631e+18
201,1.2517417326199112e+18
202,1.2517408391618683e+18
203,1.2517406421174843e+18
204,1.2517394900261274e+18
205,1.2517362450735186e+18
206,1.2517356816315845e+18
207,1.251730482703659e+18
208,1.251728703979217e+18
209,1.251728178961408e+18
210,1.2517274321613332e+18
211,1.2517274220111176e+18
212,1.2517269709725243e+18
213,1.2517261741888266e+18
214,1.2517232899380795e+18
215,1.2517230019948872e+18
216,1.2517200193916396e+18
217,1.2517133218011464e+18
218,1.251711814137606e+18
219,1.251711188343423e+18
220,1.2517108476525937e+18
221,1.2517102248530944e+18
222,1.2517084604100567e+18
223,1.2517070051249807e+18
224,1.2517065878294733e+18
225,1.2517063283487908e+18
226,1.2517061861577646e+18
227,1.2517043449463237e+18
228,1.2517011710660037e+18
229,1.2516983309645414e+18
230,1.2516970484384522e+18
231,1.2516947396211302e+18
232,1.251691604483756e+18
233,1.251690146669478e+18
234,1.25168999670195e+18
235,1.251689832838951e+18
236,1.2516886839519437e+18
237,1.2516865866491085e+18
238,1.2516858876891914e+18
239,1.2516849443062538e+18
240,1.2516822608243466e+18
241,1.251681521922179e+18
242,1.2516807503547392e+18
243,1.251679690257023e+18
244,1.2516777111872635e+18
245,1.2516746076916736e+18
246,1.2516728691653222e+18
247,1.251671197496025e+18
248,1.2516681224419697e+18
249,1.2516623793241088e+18
250,1.251902499021369e+18
251,1.2519005872072663e+18
252,1.2518999203087237e+18
253,1.251899755434672e+18
254,1.2518995176344005e+18
255,1.2518987475141632e+18
256,1.2518971068323471e+18
257,1.2518970294725632e+18
258,1.2518970107074765e+18
259,1.2518968250004808e+18
260,1.2518963391154913e+18
261,1.2518953080506655e+18
262,1.2518951828548854e+18
263,1.2518945928757576e+18
264,1.2518937517039084e+18
265,1.2518930678939156e+18
266,1.2518924127687516e+18
267,1.2518919660584591e+18
268,1.251890096657351e+18
269,1.2518900866959073e+18
270,1.2518877994244874e+18
271,1.251887415108817e+18
272,1.2518864118480486e+18
273,1.25188597146701e+18
274,1.2518855048591155e+18
275,1.2518853871292703e+18
276,1.2518850869428224e+18
277,1.2518821994370417e+18
278,1.2518818386264517e+18
279,1.2518816210469317e+18
280,1.251881374509867e+18
281,1.251881009550893e+18
282,1.2518800774968115e+18
283,1.2518777605715515e+18
284,1.2518751892032717e+18
285,1.2518748482524938e+18
286,1.2518724971060677e+18
287,1.2518721124129628e+18
288,1.2518704377781576e+18
289,1.251869430654677e+18
290,1.251868349967057e+18
291,1.251868346489938e+18
292,1.2518675232571146e+18
293,1.251866903905067e+18
294,1.251866660216111e+18
295,1.2518646186806725e+18
296,1.2518646065423852e+18
297,1.251860446107193e+18
298,1.2518595488616407e+18
299,1.2518558601224684e+18
300,1.251855038785491e+18
301,1.2518515737029796e+18
302,1.2518504352222577e+18
303,1.251849799768453e+18
304,1.2518497163309343e+18
305,1.2518491212808684e+18
306,1.251848280239194e+18
307,1.2518480080160727e+18
308,1.2518467936392356e+18
309,1.2518455440974807e+18
310,1.2518446831746826e+18
311,1.2518406157735444e+18
312,1.2518353052059156e+18
313,1.2518325023664742e+18
314,1.2518318935630766e+18
315,1.2518270615822295e+18
316,1.2518248322133238e+18
317,1.251824589958787e+18
318,1.2518244220397568e+18
319,1.2518236770935398e+18
320,1.2518121130911908e+18
321,1.2518118095619604e+18
322,1.251811185286054e+18
323,1.2518022034399887e+18
324,1.251792897248301e+18
325,1.2517903649328374e+18
326,1.2517855837745723e+18
327,1.251785103748948e+18
328,1.251780591508353e+18
329,1.2517767223930552e+18
330,1.2517737379442483e+18
331,1.2517723795436216e+18
332,1.2517690701537608e+18
333,1.2517625900422636e+18
334,1.251756524629717e+18
335,1.25175621951923e+18
336,1.2517561831881974e+18
337,1.2517558908955443e+18
338,1.251755568852861e+18
339,1.2517554381793198e+18
340,1.2517548887841587e+18
341,1.251754859331834e+18
342,1.2517544723483484e+18
343,1.251750922184618e+18
344,1.2517505518109696e+18
345,1.2517498323955753e+18
346,1.2517486637952983e+18
347,1.2520199242282844e+18
348,1.2520194551415194e+18
349,1.252019152237273e+18
350,1.2520189848886968e+18
351,1.2520189358825513e+18
352,1.2520181034809876e+18
353,1.2520178697827574e+18
354,1.2520177705746924e+18
355,1.252017325579989e+18
356,1.252017210010284e+18
357,1.2520171455731876e+18
358,1.2520157209485517e+18
359,1.2520157055134925e+18
360,1.2520148679904952e+18
361,1.2520110561987502e+18
362,1.252010900879532e+18
363,1.252010015461978e+18
364,1.2520077906814362e+18
365,1.252007437663703e+18
366,1.252006727458992e+18
367,1.2520040327191593e+18
368,1.2520037651185254e+18
369,1.252002752005202e+18
370,1.252001846270419e+18
371,1.2520004249677865e+18
372,1.251999586836779e+18
373,1.251999106743984e+18
374,1.251998401002115e+18
375,1.2519976021382636e+18
376,1.2519962186428744e+18
377,1.2519954858854031e+18
378,1.2519937273897288e+18
379,1.2519933908094034e+18
380,1.2519930301707305e+18
381,1.251989973689082e+18
382,1.251989263400317e+18
383,1.2519886145039688e+18
384,1.2519881140815585e+18
385,1.2519873496822252e+18
386,1.2519867319409418e+18
387,1.251985207579693e+18
388,1.2519837378745713e+18
389,1.2519836835082117e+18
390,1.251982814867632e+18
391,1.2519824205403054e+18
392,1.251982352193958e+18
393,1.2519816991871836e+18
394,1.2519802456131543e+18
395,1.2519800469711258e+18
396,1.2519799165073285e+18
397,1.2519790968436818e+18
398,1.2519790862657577e+18
399,1.2519771625063383e+18
400,1.251976319908434e+18
401,1.251976039900885e+18
402,1.251975819720827e+18
403,1.2519755326417674e+18
404,1.2519754477909606e+18
405,1.2519752014008033e+18
406,1.2519741895751393e+18
407,1.2519741718543606e+18
408,1.251973638435242e+18
409,1.2519730434229248e+18
410,1.2519725165092987e+18
411,1.2519723490517074e+18
412,1.2519713249536696e+18
413,1.251970739856724e+18
414,1.2519682942419108e+18
415,1.2519674668231352e+18
416,1.251967291857744e+18
417,1.251967266293498e+18
418,1.2519668132876943e+18
419,1.2519667793222492e+18
420,1.2519656075719434e+18
421,1.2519654334581105e+18
