,scores
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.2749999985098839
7,0.0
8,0.0
9,0.0
10,0.0
11,0.3500000052154064
12,0.0
13,0.0
14,0.0
15,0.10000000149011612
16,0.05000000074505806
17,0.0
18,0.0
19,0.2500000074505806
20,0.0
21,0.0
22,0.0
23,0.0
24,0.10000000149011612
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.5250000096857548
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.05000000074505806
37,0.0
38,0.0
39,0.17500000447034836
40,0.0
41,0.0
42,0.10000000149011612
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.32500000670552254
49,0.0
50,0.0
51,0.0
52,0.05000000074505806
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.1250000037252903
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.2500000037252903
74,0.05000000074505806
75,0.0
76,0.0
77,0.0
78,0.0
79,0.2500000037252903
80,0.0
81,0.15000000596046448
82,0.0
83,0.0
84,0.0
85,0.0
86,0.20000000670552254
87,0.0
88,0.0
89,0.0
90,0.0
91,0.15000000596046448
92,0.20000000670552254
93,0.0
94,0.0
95,0.1250000037252903
96,0.0
97,0.15000000223517418
98,0.0
99,0.0
100,0.05000000074505806
101,0.0
102,0.2750000059604645
103,0.0
104,0.0
105,0.0
106,0.1250000037252903
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.1750000026077032
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.15000000223517418
178,0.32500001043081284
179,0.05000000074505806
180,0.0
181,0.5000000186264515
182,0.2749999947845936
183,0.2500000037252903
184,0.1750000026077032
185,0.05000000074505806
186,0.05000000074505806
187,0.0
188,0.05000000074505806
189,0.0
190,0.0
191,0.07500000111758709
192,0.20000000298023224
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.05000000074505806
200,0.3500000089406967
201,0.0
202,0.0
203,0.2500000037252903
204,0.0
205,0.10000000149011612
206,0.15000000596046448
207,0.0
208,0.05000000074505806
209,0.0
210,0.0
211,0.10000000149011612
212,0.0
213,0.0
214,0.22500000521540642
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.12500000186264515
222,0.10000000149011612
223,0.0
224,0.3500000014901161
225,0.0
226,0.10000000149011612
227,0.05000000074505806
228,0.0
229,0.0
230,0.0
231,0.10000000149011612
232,0.05000000074505806
233,0.10000000149011612
234,0.0
235,0.0
236,0.0
237,0.10000000149011612
238,0.15000000596046448
239,0.0
240,0.0
241,0.0
242,0.15000000223517418
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.05000000074505806
249,0.05000000074505806
250,0.0
251,0.10000000149011612
252,0.0
253,0.10000000149011612
254,0.10000000149011612
255,0.0
256,0.0
257,0.0
258,0.0
259,0.05000000074505806
260,0.05000000074505806
261,0.0
262,0.05000000074505806
263,0.15000000223517418
264,0.0
265,0.05000000074505806
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.15000000223517418
273,0.0
274,0.0
275,0.0
276,0.30000000447034836
277,0.10000000149011612
278,0.0
279,0.10000000149011612
280,0.05000000074505806
281,0.05000000074505806
282,0.0
283,0.05000000074505806
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.10000000149011612
296,0.10000000149011612
297,0.0
298,0.0
299,0.0
300,0.0
301,0.10000000149011612
302,0.0
303,0.0
304,0.0
305,0.10000000149011612
306,0.0
307,0.15000000596046448
308,0.5249999985098839
309,0.22500000521540642
310,0.42499999701976776
311,0.05000000074505806
312,0.0
313,0.0
314,0.0
315,0.0
316,0.02500000037252903
317,0.15000000596046448
318,0.05000000074505806
319,0.0
320,0.0
321,0.0
322,0.0
323,0.05000000074505806
324,0.0
325,0.05000000074505806
326,0.05000000074505806
327,0.05000000074505806
328,0.15000000223517418
329,0.32500001043081284
330,0.05000000074505806
331,0.0
332,0.5000000186264515
333,0.2749999947845936
334,0.2500000037252903
335,0.1750000026077032
336,0.05000000074505806
337,0.05000000074505806
338,0.0
339,0.05000000074505806
340,0.0
341,0.0
342,0.07500000111758709
343,0.20000000298023224
344,0.0
345,0.0
346,0.0
347,0.05000000074505806
348,0.0
349,0.05000000074505806
350,0.0
351,0.05000000074505806
352,0.0
353,0.05000000074505806
354,0.05000000074505806
355,0.20000000298023224
356,0.0
357,0.05000000074505806
358,0.0
359,0.10000000149011612
360,0.0
361,0.0
362,0.15000000223517418
363,0.0
364,0.05000000074505806
365,0.2500000074505806
366,0.0
367,0.32500000670552254
368,0.10000000149011612
369,0.0
370,0.0
371,0.0
372,0.3500000089406967
373,0.0
374,0.0
375,0.0
376,0.20000000670552254
377,0.0
378,0.15000000223517418
379,0.07500000298023224
380,0.0
381,0.05000000074505806
382,0.0
383,0.0
384,0.10000000149011612
385,0.0
386,0.07500000111758709
387,0.0
388,0.0
389,0.10000000149011612
390,0.0
391,0.0
392,0.0
393,0.1250000037252903
394,0.0
395,0.0
396,0.0
397,0.0
398,0.05000000074505806
399,0.0
400,0.15000000223517418
401,0.05000000074505806
402,0.0
403,0.0
404,0.10000000149011612
405,0.10000000149011612
406,0.0
407,0.45000000298023224
408,0.0
409,0.0
410,0.0
411,0.0
412,0.22500000894069672
413,0.17500000447034836
414,0.05000000074505806
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.15000000223517418
422,0.0
423,0.0
424,0.0
425,0.0
426,0.1250000037252903
427,0.15000000223517418
428,0.05000000074505806
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.05000000074505806
435,0.10000000149011612
436,0.0
437,0.0
438,0.05000000074505806
439,0.0
440,0.0
441,0.0
442,0.05000000074505806
443,0.20000000670552254
444,0.0
445,0.3750000037252903
446,0.05000000074505806
447,0.0
448,0.0
449,0.0
450,0.0
