,scores
0,0.0019482927506219744
1,0.0012926168587208118
2,0.0019482927506219744
3,0.0019482927506219744
4,0.0019482927506219744
5,0.0013472689227097831
6,0.17927298618560153
7,0.0138996500234684
8,-5.018444322250962e-05
9,0.0008313347893579089
10,0.0009235105201302979
11,0.36253071315244073
12,0.002833827204983093
13,-5.018444322250962e-05
14,-0.0014445073479909703
15,0.21449994716898288
16,0.10025920911451329
17,0.01077730633596128
18,0.0184981579771275
19,0.40455819166274437
20,0.000627765259927477
21,0.00418618994572119
22,0.00044646436174785486
23,0.0024964489183699826
24,0.07885414829943663
25,0.0003569483336861803
26,0.00211468953634644
27,0.0002689410075062891
28,0.005025008612455798
29,0.0048532192271541
30,0.6001586972281326
31,-0.004939434223579451
32,0.013255254919503587
33,-5.018444322250962e-05
34,-5.018444322250962e-05
35,-5.018444322250962e-05
36,0.07417020235392016
37,0.0004264840664273729
38,0.00015950560295538386
39,0.23192663002761102
40,0.026407775476715443
41,-0.0027516094582438737
42,0.16004275168402363
43,-5.018444322250962e-05
44,0.00032210831362485594
45,-5.018444322250962e-05
46,-5.018444322250962e-05
47,0.0024690522404419994
48,0.2483258204137914
49,-5.018444322250962e-05
50,0.01701319517366757
51,0.0028971155490887914
52,0.04940818414768882
53,-5.018444322250962e-05
54,-5.018444322250962e-05
55,0.0022830737321332772
56,0.0015224635835822634
57,0.01564800704348607
58,0.0021438547506036658
59,-5.018444322250962e-05
60,0.01701319517366757
61,0.0014045719101724538
62,0.0035763122916587196
63,6.227829360581202e-05
64,-5.018444322250962e-05
65,0.014564339347889749
66,-5.018444322250962e-05
67,0.013071594054883508
68,0.013532215061813934
69,0.0035763122916587196
70,0.0005631968392860522
71,-5.018444322250962e-05
72,0.0024690522404419994
73,0.21013429343878373
74,0.02593193666796266
75,-5.018444322250962e-05
76,0.003564969216427196
77,0.02747200805922886
78,0.00017155790607290125
79,0.1282366210667748
80,0.0072453370182771
81,0.2106011654120324
82,0.0010228585318099322
83,0.0016219490709953907
84,-0.0002707264302081544
85,0.008923056220442191
86,0.18513604246712947
87,0.0072453370182771
88,8.87865654456308e-05
89,0.00045916597402316663
90,0.0008076453149878209
91,0.105093362151571
92,0.08749037659002128
93,0.0007595151722831476
94,0.0003970087511829099
95,0.07538337266030186
96,-0.0007347184519638017
97,0.3025202546347654
98,-0.0015110071757639002
99,0.0072453370182771
100,0.019639583940846226
101,0.002959245367068757
102,0.19371986276922315
103,0.0072453370182771
104,0.0001423202653776331
105,0.05101219622256211
106,0.11107506196979322
107,0.0072453370182771
108,0.006929786259374155
109,0.0007018006200005822
110,0.0072453370182771
111,0.0012455937114127084
112,0.0017050954828207745
113,0.0072453370182771
114,0.003837704736887959
115,0.0072453370182771
116,0.10330174243238714
117,0.0072453370182771
118,0.0072453370182771
119,0.0072453370182771
120,0.0072453370182771
121,0.0072453370182771
122,0.0072453370182771
123,0.0072453370182771
124,0.0072453370182771
125,0.00034827559699500453
126,0.00034827559699500453
127,-0.00015959147991636131
128,0.013269961568886277
129,0.0072453370182771
130,0.018314759308990913
131,0.0072453370182771
132,0.0072453370182771
133,0.0072453370182771
134,0.0072453370182771
135,0.0072453370182771
136,0.001810310083797313
137,0.0072453370182771
138,0.0072453370182771
139,0.02395917643741664
140,0.0072453370182771
141,0.0072453370182771
142,-0.00019577318746859983
143,0.0072453370182771
144,0.0072453370182771
145,0.0072453370182771
146,0.0072453370182771
147,0.0072453370182771
148,0.0072453370182771
149,0.0072453370182771
150,0.0072453370182771
151,0.0072453370182771
152,0.0072453370182771
153,0.0072453370182771
154,0.00023653766182725618
155,0.0072453370182771
156,0.0072453370182771
157,0.0072453370182771
158,-0.00029319795874573914
159,0.0072453370182771
160,0.0072453370182771
161,0.0072453370182771
162,0.0072453370182771
163,0.0072453370182771
164,0.0072453370182771
165,0.0072453370182771
166,0.0072453370182771
167,0.0072453370182771
168,0.0072453370182771
169,0.0072453370182771
170,0.004242760168550081
171,0.0072453370182771
172,0.0072453370182771
173,0.0072453370182771
174,0.0072453370182771
175,0.0072453370182771
176,0.0072453370182771
177,0.07686916237912207
178,0.2204067421223324
179,-0.0005913435465851616
180,0.00262614086053095
181,0.2876252565140419
182,0.11730286013878913
183,0.09669070935776145
184,0.09805339257434612
185,0.12969217956963308
186,0.10341825930462425
187,0.045520959113984946
188,-0.0005913435465851616
189,0.00029080232086004144
190,0.005984276154732168
191,0.04283483314824523
192,0.09424228872670144
193,0.021880938009599993
194,0.0017248183119411467
195,0.0011855120564162147
196,-0.0015547186124525217
197,0.0009243541499875286
198,-5.018444322250962e-05
199,0.023180589641545457
200,0.2828653420603364
201,0.033770176583603484
202,0.018073165666055956
203,0.1366845121331048
204,0.0028006705493510533
205,0.03800070861244288
206,0.0021672748585629693
207,-9.665401659585333e-05
208,-0.0005913435465851616
209,0.0002617495435586163
210,7.014926016055646e-05
211,0.009274991709657702
212,0.00021300742413189375
213,0.008433761277477086
214,0.1318427425706631
215,0.03391092852611314
216,0.0042520916602900175
217,0.0017519496771594373
218,-4.600732549909519e-05
219,0.0033872316989032986
220,0.002880538742883446
221,0.03469387529008508
222,0.048401547056259306
223,-0.0008444849524200131
224,0.3079305150414261
225,0.0005143965298270871
226,0.16302383016470848
227,0.045589913016855006
228,0.003794974311281339
229,0.002802937618167528
230,0.0002290802779693235
231,0.05182640457720125
232,-0.0005913435465851616
233,0.048401547056259306
234,8.297993458400802e-05
235,0.024795816221594918
236,0.000743690798893798
237,0.048401547056259306
238,0.0021672748585629693
239,-0.0014021580705696481
