,scores
0,0.06341214707038229
1,0.03355261869538011
2,0.06341214707038229
3,0.06341214707038229
4,0.06341214707038229
5,0.0350845833781607
6,0.2240913332763892
7,-6.143351078641279e-05
8,-0.01174245357765022
9,-0.016728471680347412
10,-0.008653296557127654
11,0.3667395355558141
12,0.08481403284455583
13,-0.01174245357765022
14,0.04372479846253191
15,0.2192882185011165
16,0.10597835804745095
17,0.08648951991562401
18,0.04871626316748451
19,0.326589463383251
20,0.012016417733321808
21,-0.004939675636577101
22,0.00973053019442531
23,0.036889564779712225
24,0.12591587396884243
25,0.028078629175843625
26,0.02038919993125976
27,0.01921684607145302
28,0.03465548433594019
29,0.035547627473668825
30,0.4341150875920945
31,0.013934369480111591
32,0.0006732667701363493
33,-0.01174245357765022
34,-0.01174245357765022
35,-0.01174245357765022
36,0.1108520621786179
37,0.03936035314958433
38,0.0113573146168848
39,0.20878320731786024
40,0.019198802076499814
41,0.04473837093903493
42,0.11762137948646278
43,-0.01174245357765022
44,-0.005519475675929503
45,-0.01174245357765022
46,-0.01174245357765022
47,0.030086283428693267
48,0.311146702378977
49,-0.01174245357765022
50,0.018399729688989626
51,0.06743710859543241
52,0.09245148711350301
53,-0.01174245357765022
54,-0.01174245357765022
55,0.01748055645033811
56,0.062011912166356487
57,0.03863458693398099
58,0.05182431225020967
59,-0.01174245357765022
60,0.018399729688989626
61,0.019657320085722768
62,0.04083602208359402
63,0.0032737368322973207
64,-0.01174245357765022
65,0.05073526419873442
66,-0.01174245357765022
67,0.0009409948931003165
68,0.024231150834033294
69,0.04083602208359402
70,0.008695801093652311
71,-0.01174245357765022
72,0.030086283428693267
73,0.28798606188372705
74,0.0783422541772612
75,-0.01174245357765022
76,0.011551110267160311
77,0.06884162520448822
78,0.03638857887259611
79,0.1491957194773729
80,0.05778852464820314
81,0.24098314483936753
82,-0.012582967870111539
83,0.0497845211372733
84,-0.03240263706689307
85,0.06654078351654019
86,0.13586701918237498
87,0.05778852464820314
88,0.011437735743477492
89,0.011086774142494454
90,0.03236277992205239
91,0.06987468553813247
92,0.06746085980211564
93,-0.005034617276037295
94,0.011262757470254889
95,0.05618785464320175
96,0.0060980587685976195
97,0.26274259887205453
98,0.012250328982133352
99,0.05778852464820314
100,0.05877948201713226
101,0.01001013786335659
102,0.29615685480517373
103,0.05778852464820314
104,-0.010410843992344446
105,0.09427387547215957
106,0.0790192447004722
107,0.05778852464820314
108,0.06036801578479323
109,0.008340730657731582
110,0.05778852464820314
111,0.011709700016496752
112,0.022075648867773523
113,0.05778852464820314
114,0.04025700911465796
115,0.05778852464820314
116,0.12424064530762678
117,0.05778852464820314
118,0.05778852464820314
119,0.05778852464820314
120,0.05778852464820314
121,0.05778852464820314
122,0.05778852464820314
123,0.05778852464820314
124,0.05778852464820314
125,-0.015317498643944952
126,-0.015317498643944952
127,0.03703493444980063
128,-0.03538655070626917
129,0.05778852464820314
130,0.027327599613762965
131,0.05778852464820314
132,0.05778852464820314
133,0.05778852464820314
134,0.05778852464820314
135,0.05778852464820314
136,0.03034972250162185
137,0.05778852464820314
138,0.05778852464820314
139,0.018560236262778113
140,0.05778852464820314
141,0.05778852464820314
142,0.024865929438676895
143,0.05778852464820314
144,0.05778852464820314
145,0.05778852464820314
146,0.05778852464820314
147,0.05778852464820314
148,0.05778852464820314
149,0.05778852464820314
150,0.05778852464820314
151,0.05778852464820314
152,0.05778852464820314
153,0.05778852464820314
154,0.034378290164499184
155,0.05778852464820314
156,0.05778852464820314
157,0.05778852464820314
158,0.006173884723121553
159,0.05778852464820314
160,0.05778852464820314
161,0.05778852464820314
162,0.05778852464820314
163,0.05778852464820314
164,0.05778852464820314
165,0.05778852464820314
166,0.05778852464820314
167,0.05778852464820314
168,0.05778852464820314
169,0.05778852464820314
170,0.007074923053654064
171,0.05778852464820314
172,0.05778852464820314
173,0.05778852464820314
174,0.05778852464820314
175,0.05778852464820314
176,0.05778852464820314
177,0.08016706578869345
178,0.21978044011774334
179,0.1291156710648226
180,0.025804079356126747
181,0.3667690490674448
182,0.1642958789282739
183,0.1343060909128963
184,0.12880937087387084
185,0.12358929654046574
186,0.10526968171127515
187,0.05424529860265501
188,0.1291156710648226
189,0.020714943530265262
190,0.06543563837187366
191,0.11327762238988215
192,0.19310307823670553
193,0.0356177426334444
194,0.03417904785913592
195,0.01505411522062991
196,0.019508008591010345
197,0.061738008730657795
198,0.02442318032581252
199,0.08583607318807518
200,0.3175017900484278
201,0.06882513082785105
202,0.06111313113635794
203,0.13583334690337096
204,0.004251213298676726
205,0.1030894287866468
206,0.021763300432594473
207,0.044664053458347036
208,0.1291156710648226
209,0.020853075639454974
210,-0.042753585413327216
211,0.04744333368073422
212,0.008182763636400636
213,0.012542201022277433
214,0.1766432613430407
215,0.14205252026685505
216,0.014217209652360313
217,0.04732278865259398
218,0.012401028844216122
219,0.026377679125402176
220,-0.0059736421284920654
221,0.03112441301926025
222,0.057393763410968246
223,0.008360454397342912
224,0.3252249833635973
225,0.021048035449899666
226,0.15057491964770328
227,0.11218159390671639
228,0.033612561312163614
229,0.06760868519366925
230,-0.03026447475949122
231,0.04419856323073376
232,0.1291156710648226
233,0.057393763410968246
234,0.0007874232207231574
235,0.023053728726134037
236,0.0030807220459735107
237,0.057393763410968246
238,0.021763300432594473
239,-0.017864606053855217
240,0.037993334333053824
241,0.06157958889510387
242,0.1421088797863888
243,-0.0015012720332015783
244,-0.011752120817728584
245,-0.0029156494116975157
246,0.02242101467711191
247,0.0023104584293776043
248,0.1401322957945673
249,0.04550299285083648
250,0.028890330572079015
251,0.11178547661133251
252,0.0030073302901330173
253,0.11872344009296787
254,0.031007250959476304
255,0.10212768292853514
256,-0.006618125613679221
257,0.039903829968189586
258,-0.0059736421284920654
259,0.11752181332492999
260,0.06990146966342146
261,-0.030696082375679057
262,0.07424383129289162
263,0.20729554221333393
264,0.01769454598787211
265,0.0808349186022343
266,-0.007654111871095964
267,-0.025018602157826586
268,-0.04098228185497771
269,-0.015510553038098673
270,0.009754084617685621
271,0.027977647506032183
272,0.06037616700552362
273,0.005444949614026209
274,0.01139621058109544
275,0.008526818868249408
276,0.23764742801293468
277,0.031007250959476304
278,0.007532313938251101
279,0.031007250959476304
280,0.02820925308815671
281,0.02820925308815671
282,0.004652097243235717
283,0.12069875451945825
284,0.010721588061211547
285,0.017068675555111268
286,0.03164683787301263
287,0.01369794675683246
288,0.00451926130099517
289,0.0016750331494009146
290,0.04329625109863314
291,0.03623725083528467
292,0.02704353898661785
293,0.01728738975645605
294,0.07130952610254163
295,0.07820983731671546
296,0.18965707721523267
297,0.010592801485340947
298,0.027479591057516933
299,-0.027770478642641386
300,-0.011943155083844331
301,0.03987411262184791
302,-0.0059736421284920654
303,0.0341105989767331
304,0.03231021190086218
305,0.008814396411572417
306,0.02436721963450686
307,0.029963721241480196
308,0.42220685960036264
309,0.30476639888167734
310,0.439760081234274
311,0.058594992702844434
312,-0.0059736421284920654
313,0.022433789812338303
314,0.005877975283998305
315,-0.0017148745805013327
316,0.1331132652193529
317,0.10886668181946035
318,0.0915504971951713
319,0.06927150700824392
320,0.017366448429119788
321,0.022195836024647614
322,0.006715763073964737
323,0.12064772706838792
324,-0.007348826796323274
325,0.1291156710648226
326,0.024383175566308368
327,0.04053461495591376
328,0.08016706578869345
329,0.21978044011774334
330,0.1291156710648226
331,0.025804079356126747
332,0.3667690490674448
333,0.1642958789282739
334,0.1343060909128963
335,0.12880937087387084
336,0.12358929654046574
337,0.10526968171127515
338,0.05424529860265501
339,0.1291156710648226
340,0.020714943530265262
341,0.06543563837187366
342,0.11327762238988215
343,0.19310307823670553
344,0.0356177426334444
345,0.03417904785913592
346,0.01505411522062991
347,0.0479441568858163
348,0.024704876574505985
349,0.0479441568858163
350,-0.0047608854701182285
351,0.0479441568858163
352,0.0730395318695318
353,0.0479441568858163
354,0.02027938635140042
355,0.20037873476302992
356,0.013227867318782588
357,0.07726251763027872
358,0.02211121691603065
359,0.05953310110230428
360,-0.004028836710660122
361,0.029597774425257156
362,0.11563268474947175
363,0.04910600050770858
364,0.05986061146836118
365,0.17236645069877163
366,0.037374252179630696
367,0.2532916610133239
368,0.06652165866187454
369,-0.014844925212006019
370,0.0859941595933626
371,-0.03945253687630147
372,0.39153203447809637
373,0.09216404155857513
374,-0.0245608045760633
375,0.15206482610435468
376,0.1596574502435072
377,0.0343197193858083
378,0.11563268474947175
379,0.048165117646536915
380,0.00953311427490211
381,0.07867591513803063
382,-0.007551252937600034
383,0.023760646228701582
384,0.022328824823522053
385,0.026792298626347744
386,0.07134374301654114
387,0.018623062574393043
388,0.06980257269452203
389,0.044325139593256874
390,0.07971823695281788
391,0.027006379570392314
392,-0.03945253687630147
393,0.24935249140734356
394,0.005219007469794659
395,0.03167913890930558
396,0.001412861198700363
397,0.04124468037076515
398,0.047983416479204594
399,0.011693215928224386
400,0.11563268474947175
401,0.017705184319966816
402,0.0064437370384193005
403,0.016285019597671924
404,0.056641178898112834
405,0.09856150861797885
406,-0.009652514671178489
407,0.26286027527546085
408,0.027006379570392314
409,0.017035701539188236
410,0.005219007469794659
